-0.0572741,-0.0819873,0.0329347,-0.0218729,-0.0177351,0.0228574,-0.0330564,0.0630566,-0.0990916,-0.000418918,-0.0417306,0.0823105,-0.0246215,-0.00782655,-0.00491033,-0.0117634,-0.036074,0.0091174,-0.0384152,-0.012164	0.037141,-0.0748832,0.0667281,0.0544317,0.0172895,0.098903,-0.0426393,0.00590024,0.0042353,-0.056573,-0.0612741,0.169189,0.0897956,-0.00828573,0.0811536,-0.0900844,0.00893097,0.0179995,0.0092871,0.0570377	-0.0942147,-0.00714794,-0.0338679,-0.0762139,-0.0350139,-0.0762179,0.00959641,0.0571776,-0.103284,0.0561554,0.0195937,-0.0881052,-0.114165,0.000459208,-0.0860296,0.0784041,-0.0449905,-0.00888352,-0.0476853,-0.0691537
-0.0677164,-0.126976,0.000747043,-0.116554,-0.0546187,-0.0613161,-0.0862394,-0.0597768,-0.125065,-0.0564498,-0.0542092,0.012023,-0.091368,-0.0736018,-0.0499751,0.00495694,-0.104306,-0.0349603,-0.0654648,-0.0654289	-0.0432748,-0.0140339,0.0840803,0.00370634,0.0189771,0.0264074,-0.0447089,0.0259641,-0.0512559,-0.0605528,0.00353378,0.0962271,0.0324769,0.0378645,0.00282618,-0.0372452,0.0242919,0.00226127,0.00865692,0.00238681	-0.0245134,-0.113144,-0.0833385,-0.120209,-0.0735196,-0.0875817,-0.0416913,-0.085608,-0.0742853,0.00411711,-0.0577319,-0.0843017,-0.123478,-0.111157,-0.0527938,0.0421944,-0.128273,-0.0372186,-0.0740797,-0.0678052
-0.056554,-0.105491,0.058594,-0.0278061,-0.0129789,0.00117323,-0.0602047,-0.0442836,-0.0551605,0.0401513,-0.0140115,0.0935452,0.0219056,-0.0328832,0.0186678,0.0244241,-0.0497211,0.0310014,-0.0294273,0.00778438	-0.0413414,-0.106544,-0.0140621,-0.000581117,-0.11941,0.0725275,-0.0488659,-0.0604268,-0.0664067,0.0544131,0.00855917,0.0790246,0.0730263,0.0539915,0.0973597,-0.0249416,0.0274062,0.00737027,-0.0663523,0.0098826	-0.0152482,0.00106512,0.0725963,-0.0272254,0.106596,-0.0713603,-0.0113723,0.0161865,0.0112875,-0.0142931,-0.022568,0.0146287,-0.0512026,-0.0867208,-0.0788352,0.0493356,-0.0770223,0.0236365,0.0369972,-0.00209838
0.0247822,-0.0357966,0.039073,0.0331992,0.0262723,0.0562858,-0.0221748,-0.0188766,-0.0201602,0.0216714,0.0361199,0.074398,0.0185879,-0.0300489,0.0146834,0.0352864,-0.00929555,-0.0276078,-0.0994948,-0.0297591	-0.105,-0.0862308,-0.0206204,0.0483223,0.0491857,0.0264165,-0.00182026,-0.100174,-0.0565324,0.0507245,0.0128843,0.152862,-0.018174,0.0227657,0.0139118,-0.0258161,-0.051996,-0.0456139,-0.0822145,-0.02222	0.129445,0.0505904,0.0596453,-0.0151473,-0.0229431,0.0299137,-0.0203554,0.0814514,0.0364137,-0.0290851,0.0232464,-0.0793665,0.0367495,-0.0527785,0.000771776,0.0610469,0.0427211,0.0180288,-0.0174228,-0.00754408
0.182612,0.0574693,0.157798,0.225991,0.142382,0.158079,0.0796792,0.0778442,0.115795,0.0440036,0.0564502,0.122003,0.196721,0.0654026,0.103151,0.132214,0.127298,0.0622308,-0.0547296,0.188655	0.0813072,0.057429,0.0771815,0.0966698,0.0318975,0.153936,0.00792761,-0.0454768,0.028747,0.101691,0.0673679,0.168923,0.119252,0.1146,0.121583,0.0474125,0.0897773,0.0847048,-0.0790804,0.10044	0.102831,4.04086e-05,0.0816104,0.13221,0.110989,0.00424572,0.071797,0.122886,0.087339,-0.0579467,-0.0109594,-0.0479067,0.07933,-0.0495693,-0.0186659,0.085336,0.037954,-0.0225931,0.0244567,0.0899185
-0.00538724,-0.0454187,0.0612428,0.0773833,0.0260373,0.0824759,0.0103683,0.0448142,-0.0535534,-0.048562,0.0319455,0.102505,0.0685862,0.023092,0.0115745,0.0237988,0.00289798,0.0119974,-0.0702656,0.073936	-0.0284224,-0.103458,0.003974,0.0494529,0.0435399,0.0859303,-0.0807702,-0.112159,0.0205897,-0.0355414,-0.00631007,0.211444,0.0573139,0.00189843,0.0236125,-0.078266,-0.0395535,0.0245139,-0.0147763,0.0765436	0.0230387,0.0583132,0.0572828,0.0280377,-0.0175225,-0.00347914,0.0910622,0.156188,-0.0740615,-0.0130431,0.0382479,-0.111353,0.0113168,0.0211945,-0.0120413,0.101875,0.0424466,-0.0125202,-0.0555469,-0.00262246
-0.030577,-0.104743,0.0206429,0.0034806,-0.0343729,0.0342682,-0.0127401,-0.0235655,-0.0898966,-0.0152173,-0.0140336,0.0210108,-0.0132664,-0.0779062,-0.0205316,0.0237072,-0.0441124,-0.0574437,-0.11614,-0.0254449	-0.119357,-0.0554271,0.0141145,0.0263572,0.0219899,0.0555585,-0.0540979,-0.0428955,-0.0445008,0.0553118,0.0317532,0.126189,-0.00581656,0.0151816,-0.0376989,-0.0394207,0.00510616,-0.0169187,-0.0356048,-0.0188476	0.0891054,-0.0496044,0.00653036,-0.0228787,-0.0563202,-0.021331,0.0413863,0.0193495,-0.0455781,-0.0704698,-0.0457665,-0.105458,-0.0074504,-0.0929778,0.0171806,0.0630689,-0.0492074,-0.0405645,-0.0808693,-0.00660052
0.140187,0.0699288,0.155801,0.214238,0.122788,0.155414,0.0997944,0.0734641,0.0795749,0.0184502,0.0471091,0.133614,0.206456,0.0552313,0.123802,0.10671,0.122271,0.0569065,-0.0160112,0.198057	0.0243613,0.00139042,-0.0084485,0.13226,-0.00522499,0.154912,0.0254495,-0.0541557,0.0340631,0.106523,0.0550899,0.13977,0.136109,0.127397,0.129353,0.0325034,0.114493,0.0354072,-0.043607,0.12818	0.116222,0.0685451,0.164034,0.0843695,0.127931,0.000514415,0.0745342,0.127114,0.0456355,-0.088246,-0.00800156,-0.00627305,0.0723811,-0.0726767,-0.00564072,0.0744647,0.00788811,0.0215426,0.0276151,0.0716969
-0.0184082,-0.116666,0.0624655,0.0339315,0.0457196,0.0208641,0.0196732,0.0457121,-0.00660359,0.044703,0.0295695,0.188912,0.0703467,0.0628498,0.0767926,-0.00895426,0.0856484,0.0453428,-0.0513833,0.0225219	0.0232198,-0.0688636,0.0458896,-0.0918178,-0.0792084,0.0460904,-0.0669114,0.0109216,-0.0499515,0.0757174,0.0626899,0.153914,0.0337562,0.0571104,0.0938063,-0.0231776,0.0949808,0.08681,-0.0933992,-0.0623789	-0.0416102,-0.0481893,0.0166236,0.125359,0.124477,-0.0252505,0.0864708,0.0348079,0.0433622,-0.0311197,-0.0331818,0.036046,0.0366777,0.00576006,-0.0171371,0.0142263,-0.009409,-0.041631,0.0422184,0.0847816
0.0912115,0.00160911,0.125141,0.0590515,0.109159,0.238688,0.164958,0.0392867,-0.0687537,0.00574077,0.173889,0.181863,0.084468,0.102914,0.156455,0.0465952,0.0220294,0.0485344,0.0800682,0.0878014	0.20502,-0.00541006,0.129969,0.0158541,0.101873,0.273995,0.0408489,-0.0373477,0.0423523,-0.00828633,0.157611,0.210328,0.114269,0.0253989,0.1696,0.00638096,0.0258074,0.080984,0.121702,0.0817904	-0.115977,0.0070191,-0.00490776,0.0432378,0.00736786,-0.0377782,0.124951,0.0765222,-0.110783,0.0140264,0.0167373,-0.0295978,-0.0300917,0.0777181,-0.0135027,0.0402262,-0.00378022,-0.0325776,-0.0420436,0.00605446
