       clusters_total filtered_by_depth filtered_by_maxH  filtered_by_maxAlleles filtered_by_maxN reads_consens   nsites nhetero heterozygosity
SUO016         291354            207858              419                  2904.0                0         79725 30644936   70597        0.00230
SUO019         282761            200140              397                  2974.0                0         78876 31416295   72407        0.00230
SUO020         221035            144832              369                  2603.0                0         72906 28172297   63617        0.00226
SUO022         565344            502366              358                  1992.0                0         60060 18417055   44803        0.00243
SUO023         229423            155306              315                  2468.0                0         70962 26245559   57227        0.00218
SUO027         281989            208419              343                  2492.0                0         70429 26925055   60256        0.00224
SUO030         283785            204912              360                  2833.0                0         75341 29454517   67657        0.00230
SUO031         165520            105553              293                  1768.0                0         57622 18037658   40129        0.00222
SUO034         196159            122652              350                  2355.0                0         70365 24717279   55914        0.00226
SUO043         209318            131838              375                  2568.0                0         74068 27065795   62176        0.00230
SUO047         158195             82782              322                  2499.0                0         72271 28088335   59597        0.00212
SUO048         167473             92715              340                  2429.0                0         71612 26348774   57941        0.00220
SUO049         155359             83785              326                  2266.0                0         68644 24876837   53719        0.00216
SUO056         180801            102779              348                  2548.0                0         74751 28884779   62735        0.00217
SUO058         139595             72133              330                  2049.0                0         64735 22177465   48369        0.00218
SUO059         238375            160645              380                  2539.0                0         74385 27516914   63032        0.00229
SUO060         155914             91187              318                  2067.0                0         62015 20161303   46930        0.00233
SUO061         146963             82437              329                  2016.0                0         61874 20413765   48072        0.00235
SUO076         196657            127772              372                  2236.0                0         65879 21213130   52198        0.00246
SUO077         223864            153065              345                  2265.0                0         67811 23041834   53119        0.00231
SUO080         164749             95360              355                  2120.0                0         66493 22035217   51902        0.00236
SUO081         149462             90644              323                  1737.0                0         56383 16468542   39533        0.00240
SUO082         199609            135414              333                  1950.0                0         61488 18516233   44741        0.00242
SUO083          89975             50942              260                  1137.0                0         37409  8880422   22230        0.00250
SUO084         176602            111352              344                  2134.0                0         62405 19953341   47541        0.00238
SUO087         167467             90307              366                  2499.0                0         73878 26954179   61418        0.00228
SUO088         166715             91985              369                  2545.0                0         71458 26284681   59360        0.00226
SUO090         179956            102328              361                  2627.0                0         74273 28624797   63937        0.00223
SUO092         306871            231834              361                  2522.0                0         71682 25681019   58366        0.00227
SUO094         255097            176682              386                  2696.0                0         74841 27068044   62876        0.00232
SUO095          44971             37665               65                   193.0                0          7004  1244580    3520        0.00283
SUO097         182016            111131              292                  2147.0                0         68114 24437139   50454        0.00206
SUO099         162788             87611              315                  2607.0                0         71938 27854241   60051        0.00216
SUO100         258324            182688              370                  2487.0                0         72323 26067149   59083        0.00227
SUO101         289841            211973              362                  2662.0                0         74464 28878470   65345        0.00226
SUO102         253302            175857              344                  2529.0                0         74102 27213129   62674        0.00230
SUO104         228848            151786              349                  2630.0                0         73727 28462679   65135        0.00229
SUO105         230541            155640              370                  2407.0                0         71730 26014656   58630        0.00225
SUO108         153537             80015              288                  2722.0                0         70299 28001708   61966        0.00221
SUO111         113902             42648              249                  2597.0                0         68251 27782952   54701        0.00197
SUO112         197991            123323              356                  2624.0                0         71294 25617313   60298        0.00235
SUO114         225886            148062              349                  2749.0                0         74370 28673660   65328        0.00228
SUO115         184046            104877              362                  2651.0                0         75770 28945666   65821        0.00227
SUO116         290384            212195              371                  3217.0                0         74184 28046562   75570        0.00269
SUO117         304485            232478              327                  2362.0                0         68934 24715439   56685        0.00229
SUO118         208720            133943              348                  2567.0                0         71524 26991562   60479        0.00224
SUO119         315097            236595              411                  3685.0                0         73956 27742430   79992        0.00288
SUO120         179146            105895              337                  2504.0                0         70081 26312813   57734        0.00219
SUO122         169977            100446              305                  2275.0                0         66664 24208553   53439        0.00221
SUO124         170559             96198              384                  2582.0                0         70975 25311397   59236        0.00234
SUO125         257887            184226              358                  2553.0                0         70373 25227066   59327        0.00235
SUO126         320701            245833              378                  2589.0                0         71475 25467429   60232        0.00237
SUO127         244085            167719              380                  2474.0                0         73074 26458918   61494        0.00232
THU001         160771            116517              252                  1571.0                0         42238 11397716   29864        0.00262
THU002         170634             99231              328                  2770.0                0         68024 25162845   60216        0.00239
THU004         243644            182954              314                  2217.0                0         57869 18658080   45958        0.00246
THU005         200233            127735              332                  2609.0                0         69237 25592150   57851        0.00226
THU007         373771            294841              343                  2850.0                0         75335 29176813   66557        0.00228
THU010         300020            236064              323                  2174.0                0         61182 20479338   48251        0.00236
THU011         212740            134993              325                  2647.0                0         74480 29570858   63800        0.00216
THU014         238312            162770              316                  2800.0                0         72130 28105633   62973        0.00224
THU019         270128            193003              327                  2823.0                0         73671 29010229   66801        0.00230
THU027         420206            350244              313                  2485.0                0         66806 23119384   56611        0.00245
THU038         380219            294406              431                  3346.0                0         81554 32180703   80755        0.00251
THU039         396885            319661              356                  2616.0                0         73874 27727723   65011        0.00234
THU056         320903            244419              364                  2708.0                0         73060 27828594   62101        0.00223
THU060         354975            275436              334                  2704.0                0         76076 29362634   63720        0.00217
THU061         210295            132277              334                  2871.0                0         74546 30252724   68101        0.00225
THU066         298035            280838              146                   520.0                0         16369  3470204   10239        0.00295
THU067         417701            337334              373                  5535.0                0         74031 28033549   75709        0.00270
THU073         248793            170801              298                  2776.0                0         74558 29127200   61343        0.00211
THU077         332153            257249              358                  2654.0                0         71411 24739046   59341        0.00240
THU079         301118            224555              313                  2652.0                0         73215 27232092   62862        0.00231
THU080         256466            179388              329                  2632.0                0         73758 27882050   63444        0.00228
THU081         292845            218289              339                  2681.0                0         71182 26332174   60521        0.00230
THU082         326671            248303              357                  2655.0                0         74901 28135782   62800        0.00223
THU083         434806            359917              330                  2617.0                0         71488 25278812   58754        0.00232
THU084         342043            265872              353                  2672.0                0         72797 26739544   63269        0.00237
THU086         243038            167703              332                  2634.0                0         72017 26632629   62829        0.00236
THU087         286819            212147              332                  2703.0                0         71261 25631578   60513        0.00236
THU091         487805            418578              348                  2219.0                0         66139 20872642   51551        0.00247
THU097         260131            184807              354                  2962.0                0         71633 26317396   65522        0.00249
THU099         444319            369599              364                  2434.0                0         71412 24132244   57572        0.00239
THU104         269296            194027              348                  2608.0                0         71942 26366130   59124        0.00224
THU106         242222            164941              344                  2594.0                0         73941 27405989   63033        0.00230
THU107         186930            111243              335                  2543.0                0         72457 26925881   59973        0.00223
THU108         329977            253039              366                  2490.0                0         73632 26363592   62312        0.00236
THU109         230691            154771              334                  2592.0                0         72670 27438299   62322        0.00227
THU110         245487            182793              279                  2074.0                0         60042 19577473   43500        0.00222
THU111         270616            194775              339                  2663.0                0         72513 27729614   61711        0.00223
THU113         457932            393950              327                  1945.0                0         61190 18425466   43721        0.00237
THU114         552047            471299              484                  2750.0                0         76577 24384862   67180        0.00275
THU118         409365            345022              314                  1984.0                0         61526 18468483   45390        0.00246
THU119         299813            231099              291                  2557.0                0         65555 23190457   51830        0.00223
THU120         292759            218820              314                  2613.0                0         70709 26322554   60577        0.00230
THU124         319430            254464              276                  2181.0                0         62220 21060985   46836        0.00222
THU127         364239            288389              338                  2711.0                0         72425 27208200   60579        0.00223
THU128         327589            249102              344                  2807.0                0         74945 28721325   64593        0.00225
THU143         352533            285837              319                  2591.0                0         63399 21239118   53402        0.00251
THU164         337174            257322              359                  3172.0                0         75888 28633841   68611        0.00240
THU165         235983            160145              322                  2734.0                0         72515 28491084   62762        0.00220
THU168         378027            301989              334                  2563.0                0         72706 26835010   60760        0.00226
THU173         165120             96646              185                  2489.0                0         65687 27148247   51869        0.00191
THU177         309120            230360              337                  2916.0                0         75096 28707248   66515        0.00232
THU179         257464            184580              326                  2874.0                0         69343 25213274   61608        0.00244
THU182         363031            289150              349                  2378.0                0         70731 25029369   57694        0.00231
THU183         224521            148048              345                  2732.0                0         73052 27925488   64462        0.00231
THU185         346621            267139              387                  2735.0                0         75914 28085337   64889        0.00231
THU187         411128            332939              398                  2760.0                0         74337 25725588   63399        0.00246
THU190         217571            144523              323                  2757.0                0         69643 25935836   60743        0.00234
THU197         367602            295192              323                  2760.0                0         68932 24277785   59691        0.00246
THU198         382750            316882              320                  2221.0                0         62902 19998260   48442        0.00242
THU199         411102            379483              232                   944.0                0         29955  6441091   18174        0.00282
WAL003         227543            144525              380                  3246.0                0         79041 32129158   74333        0.00231
WAL004         262985            177104              426                  3941.0                0         81083 32246249   79973        0.00248
WAL006         328596            240167              473                  4504.0                0         82989 33269756   86842        0.00261
WAL007         265129            186482              371                  3764.0                0         74220 29668747   72784        0.00245
WAL009         277824            196761              418                  3513.0                0         76780 30523605   73553        0.00241
WAL010         269697            184088              406                  4123.0                0         80646 31941488   79098        0.00248
WAL014         211845            131129              366                  3687.0                0         76287 29702517   70736        0.00238
WAL016         229103            147357              410                  3138.0                0         77849 30933630   74775        0.00242
WAL021         164420             91873              280                  2484.0                0         69511 26425411   53898        0.00204
WAL022         235472            158435              334                  2756.0                0         73543 27481937   64093        0.00233
WAL024         199332            119870              338                  2897.0                0         75893 30471674   67342        0.00221
WAL030         137568             70471              308                  2244.0                0         64240 22144482   48133        0.00217
WAL031         201456            123470              348                  2719.0                0         74551 28285588   65675        0.00232
WAL033         194177            116224              351                  2772.0                0         74431 27646433   63015        0.00228
WAL036         239848            163177              360                  2788.0                0         73187 27811300   66680        0.00240
WAL040         226262            149862              327                  2612.0                0         73112 27382227   63911        0.00233
WAL041         250611            174451              357                  2624.0                0         72785 26972456   61925        0.00230
WAL042         233540            160245              308                  2559.0                0         70143 26152883   58157        0.00222
WAL045         207991            127419              382                  2962.0                0         76871 30682060   73011        0.00238
WAL078         221081            138837              430                  5683.0                0         75625 27904398   77110        0.00276
WAL079         181040            105010              362                  4348.0                0         71020 27374161   68284        0.00249
WAL084         188539            111928              337                  3004.0                0         72977 28597429   65319        0.00228
WAL086         199731            120399              352                  3987.0                0         74612 28665980   70324        0.00245
WAL088         229071            149074              372                  3303.0                0         75922 29198361   69578        0.00238
ZUR011         511925            429636              454                  2797.0                0         78171 26246010   67702        0.00258
ZUR018         345325            268866              382                  2759.0                0         72872 26224322   64945        0.00248
