        reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
THU084    9292192                 201250                 142942                4674197                3359894                 26685                      1276              9264231
THU086    8635196                 184965                 130992                4428726                2988524                 26000                      1060              8608136
THU087    9595566                 206765                 146583                5004034                3466919                 28364                      1276              9565926
THU091    6842508                 159925                 104971                3661648                2663226                 20412                      1207              6820889
THU097    9943245                 215071                 146256                5243299                3659174                 30065                      1300              9911880
THU099    8596870                 189035                 131748                4381844                3176443                 25164                      1168              8570538
THU104    9650430                 206878                 146443                4909622                3354994                 28797                      1236              9620397
THU106   12306875                 262531                 184793                6494189                4356085                 36612                      1539             12268724
THU107   10260796                 216362                 156781                5381457                3559284                 30851                      1254             10228691
THU108   12302508                 264312                 189676                6275227                4400777                 35877                      1591             12265040
THU109   10802135                 225074                 163044                5525730                3715131                 31995                      1388             10768752
THU110    2994549                  64641                  46913                1560920                1098377                  8766                       433              2985350
THU111    8610254                 182000                 137449                4393928                3052023                 25793                      1092              8583369
THU113    5329942                 125370                  87456                2934531                2087641                 15864                       926              5313152
THU114    9830155                 219744                 156738                5342814                3942770                 28758                      1737              9799660
THU118    5169766                 120742                  79310                2768024                2083867                 15504                       845              5153417
THU119    4742550                 103685                  71492                2460600                1809254                 13745                       750              4728055
THU120    7075962                 157563                 105167                3497440                2500307                 21273                       967              7053722
THU124    4027129                  92212                  64478                2050010                1482668                 12181                       614              4014334
THU127    7916106                 173466                 123399                4059500                3136663                 23664                      1280              7891162
THU128   10642857                 229948                 168556                5436286                4146501                 30881                      1628             10610348
THU143    4794321                 108234                  75135                2536835                1889625                 14031                       817              4779473
THU164   10449976                 226136                 161502                5427787                3915782                 30432                      1561             10417983
THU165    7453848                 157388                 113910                3791360                2741832                 22072                      1072              7430704
THU168    7850032                 169161                 124341                4070205                2965477                 22752                      1178              7826102
THU173    2508385                  57484                  39332                1275173                 993992                  7351                       439              2500595
THU177   10905156                 233514                 166583                5749527                4175466                 32383                      1686             10871087
THU179    6918514                 150702                 108486                3632260                2672482                 20629                      1086              6896799
THU182    7339528                 161670                 109046                2988223                2240500                 18527                       881              7320120
THU183    9168287                 198823                 140942                4660847                3382405                 27050                      1283              9139954
THU185   11307809                 245535                 174016                5750708                4132906                 32893                      1627             11273289
THU187    9711263                 201296                 157112                5051833                3701080                 27937                      1407              9681919
THU190    6585514                 142744                 103703                3436695                2410357                 19946                       870              6564698
THU197    6525231                 145719                 106338                3360759                2432437                 19644                       995              6504592
THU198    5025633                 114199                  74533                2712183                2020247                 14836                       850              5009947
THU199    2418920                  56771                  39012                1408441                1148848                  6984                       651              2411285
WAL003   14669974                 321198                 227506                7512211                5393911                 43469                      2089             14624416
WAL004   16101902                 362007                 246939                8045389                5577400                 48081                      2005             16051816
WAL006   20490556                 443025                 329907               10620292                7792794                 62117                      3172             20425267
WAL007   10462632                 226976                 152851                5415474                3804233                 30983                      1487             10430162
WAL009   13879273                 299554                 206538                7272126                5270881                 41945                      2094             13835234
WAL010   15174755                 333374                 233189                7699873                5582245                 44477                      2091             15128187
WAL014   10368899                 220778                 163107                5338932                3736112                 31570                      1391             10335938
WAL016   17085756                 360441                 254510                8779922                6084998                 50725                      2406             17032625
WAL021    3901190                  84675                  65633                1245405                1068990                  7027                       351              3893812
WAL022   10816719                 227930                 175179                5638698                4074122                 32181                      1548             10782990
