chr	sp	fish	MinCov	MaxCov	AverCov	SDCov
LR778257.1	C.acrinasus	THU097	6	464.026	99.1367068255081	90.6389485673195
LR778258.1	C.acrinasus	THU097	6	416.213	101.086595756098	89.5805033458905
LR778259.1	C.acrinasus	THU097	6	1214.6	99.3133630078836	98.3344555933018
LR778260.1	C.acrinasus	THU097	6	920.683	103.460627930878	94.0869344833776
LR778261.1	C.acrinasus	THU097	6	2199.05	103.523484758348	99.0133352186663
LR778262.1	C.acrinasus	THU097	6	416.067	99.8213159368932	88.0394104913205
LR778263.1	C.acrinasus	THU097	6	685.34	102.780167567692	90.6481625269494
LR778264.1	C.acrinasus	THU097	6	481.137	98.8014796707262	89.1389875233275
LR778265.1	C.acrinasus	THU097	6	1301.52	102.926765105062	97.5412750080941
LR778266.1	C.acrinasus	THU097	6	3118.97	104.99033551493	118.487308718427
LR778267.1	C.acrinasus	THU097	6	958.716	101.191123173391	96.3261711242249
LR778268.1	C.acrinasus	THU097	6	471.612	101.726079908158	90.0702513426626
LR778269.1	C.acrinasus	THU097	6	680.313	103.957063296915	95.5446505294101
LR778270.1	C.acrinasus	THU097	6	815.647	104.770203726257	95.8045045825362
LR778271.1	C.acrinasus	THU097	6	1302.86	100.955070546838	92.9027368157964
LR778272.1	C.acrinasus	THU097	6	415.544	105.275177615345	90.976594004195
LR778273.1	C.acrinasus	THU097	6	387.75	101.508691550741	91.2819522570537
LR778274.1	C.acrinasus	THU097	6	1843.4	156.152171365188	176.39000659974
LR778275.1	C.acrinasus	THU097	6	768.351	102.72913765616	95.5981784302133
LR778276.1	C.acrinasus	THU097	6	547.542	102.635993432228	91.6952789815507
LR778277.1	C.acrinasus	THU097	6	1087.22	103.056880446271	95.4084615720116
LR778278.1	C.acrinasus	THU097	6	1239.85	101.898345254833	94.9397182038063
LR778279.1	C.acrinasus	THU097	6	480.301	101.167450672269	91.1201547306311
LR778280.1	C.acrinasus	THU097	6	1141.51	120.298829563136	131.043069515402
LR778281.1	C.acrinasus	THU097	6	1954.54	100.606503706947	99.8288565284994
LR778282.1	C.acrinasus	THU097	6	1892.54	101.512957615894	100.182479316634
LR778283.1	C.acrinasus	THU097	6	657.599	100.713503817451	90.2769144570338
LR778284.1	C.acrinasus	THU097	6	1380.23	146.842471186001	159.013321492604
LR778285.1	C.acrinasus	THU097	6	518.143	102.189502821404	92.0115569272748
