"indv" "grp" "pop" "lake"
"LAN087" "LAN09" "L" "LAN"
"LAN088" "LAN09" "L" "LAN"
"LAN089" "LAN09" "L" "LAN"
"LAN090" "LAN09" "L" "LAN"
"LAN092" "LAN09" "L" "LAN"
"LAN093" "LAN09" "L" "LAN"
"LAN095" "LAN09" "L" "LAN"
"LAN097" "LAN09" "L" "LAN"
"LAN098" "LAN09" "L" "LAN"
"LAN099" "LAN09" "L" "LAN"
"LAN102" "LAN09" "L" "LAN"
"LAN103" "LAN09" "L" "LAN"
"LAN113" "LAN15" "L" "LAN"
"LAN114" "LAN09" "L" "LAN"
"LAN115" "LAN09" "L" "LAN"
"LAN117" "LAN09" "L" "LAN"
"LAN119" "LAN09" "L" "LAN"
"LAN131" "LAN15" "L" "LAN"
"LAN132" "LAN15" "L" "LAN"
"LAN133" "LAN15" "L" "LAN"
"LAN134" "LAN15" "L" "LAN"
"LAN135" "LAN15" "L" "LAN"
"SUO001" "SUO15" "L" "SUO"
"SUO002" "SUO15" "L" "SUO"
"SUO003" "SUO15" "L" "SUO"
"SUO004" "SUO15" "L" "SUO"
"SUO005" "SUO15" "L" "SUO"
"SUO006" "SUO15" "L" "SUO"
"SUO009" "SUO15" "L" "SUO"
"SUO011" "SUO15" "L" "SUO"
"SUO012" "SUO15" "L" "SUO"
"SUO016" "SUO15" "L" "SUO"
"SUO019" "SUO15" "L" "SUO"
"SUO020" "SUO15" "L" "SUO"
"SUO022" "SUO15" "L" "SUO"
"SUO023" "SUO15" "L" "SUO"
"SUO027" "SUO15" "L" "SUO"
"SUO031" "SUO15" "L" "SUO"
"SUO060" "SUO09" "L" "SUO"
"SUO061" "SUO09" "L" "SUO"
"SUO076" "SUO15" "L" "SUO"
"SUO077" "SUO15" "L" "SUO"
"SUO080" "SUO15" "L" "SUO"
"SUO081" "SUO15" "L" "SUO"
"SUO082" "SUO15" "L" "SUO"
"SUO084" "SUO09" "L" "SUO"
"SUO087" "SUO09" "L" "SUO"
"SUO088" "SUO09" "L" "SUO"
"SUO099" "SUO09" "L" "SUO"
"SUO100" "SUO09" "L" "SUO"
"SUO101" "SUO09" "L" "SUO"
"SUO104" "SUO09" "L" "SUO"
"SUO105" "SUO09" "L" "SUO"
"SUO108" "SUO09" "L" "SUO"
"SUO111" "SUO09" "L" "SUO"
"SUO112" "SUO09" "L" "SUO"
"SUO114" "SUO09" "L" "SUO"
"SUO115" "SUO09" "L" "SUO"
"SUO116" "SUO15" "L" "SUO"
"SUO117" "SUO15" "L" "SUO"
"SUO118" "SUO15" "L" "SUO"
"SUO119" "SUO09" "L" "SUO"
"SUO120" "SUO09" "L" "SUO"
"SUO122" "SUO09" "L" "SUO"
"SUO124" "SUO15" "L" "SUO"
"SUO125" "SUO15" "L" "SUO"
"SUO126" "SUO15" "L" "SUO"
"SUO127" "SUO15" "L" "SUO"
"SUO030" "SUO16" "P" "SUO"
"SUO034" "SUO16" "P" "SUO"
"SUO043" "SUO16" "P" "SUO"
"SUO047" "SUO16" "P" "SUO"
"SUO048" "SUO16" "P" "SUO"
"SUO049" "SUO16" "P" "SUO"
"SUO056" "SUO16" "P" "SUO"
"SUO058" "SUO16" "P" "SUO"
"SUO059" "SUO16" "P" "SUO"
"SUO090" "SUO16" "P" "SUO"
"SUO092" "SUO16" "P" "SUO"
"SUO094" "SUO16" "P" "SUO"
"SUO097" "SUO16" "P" "SUO"
"SUO102" "SUO16" "P" "SUO"
