HOP005 	 1836 	 1923
HOP006 	 1719 	 1755
HOP007 	 1075 	 1086
HOP008 	 870 	 901
HOP009 	 1006 	 1032
HOP010 	 795 	 828
HOP011 	 1251 	 1279
HOP012 	 1032 	 999
HOP013 	 1531 	 1534
HOP014 	 1236 	 1295
HOP015 	 1152 	 1181
HOP016 	 919 	 1035
HOP017 	 1157 	 1171
HOP018 	 983 	 1088
HOP019 	 1246 	 1265
HOP020 	 969 	 1106
HOP021 	 731 	 656
HOP022 	 577 	 564
HOP023 	 2810 	 2856
HOP024 	 2591 	 2693
HOP025 	 2353 	 2445
HOP026 	 3335 	 3404
HOP027 	 2677 	 2802
HOP028 	 2670 	 2855
HOP029 	 2323 	 2436
HOP030 	 2812 	 3005
HOP031 	 1847 	 2100
HOP032 	 2028 	 2028
HOP033 	 2014 	 2154
HOP034 	 2155 	 2222
HOP035 	 1963 	 2138
HOP036 	 1975 	 2099
HOP037 	 131 	 135
HOP038 	 1504 	 1521
HOP039 	 1428 	 1431
HOP040 	 1150 	 1185
HOP041 	 928 	 944
HOP042 	 1000 	 1025
HOP043 	 827 	 828
HOP044 	 1389 	 1401
HOP045 	 1093 	 1108
HOP046 	 1331 	 1355
HOP047 	 1028 	 1055
HOP048 	 1567 	 1636
HOP049 	 1489 	 1595
HOP050 	 1158 	 1183
HOP051 	 866 	 923
HOP052 	 15237 	 16202
HOP053 	 13084 	 14009
HOP054 	 14778 	 15873
HOP055 	 14960 	 15859
HOP056 	 945 	 955
HOP057 	 827 	 852
HOP058 	 10194 	 10538
HOP059 	 10080 	 10681
HOP060 	 11268 	 11799
HOP061 	 9332 	 9764
HOP062 	 10504 	 10778
HOP063 	 10828 	 11611
HOP064 	 711 	 740
HOP065 	 512 	 603
HOP066 	 10265 	 10613
HOP067 	 9989 	 10481
HOP068 	 11022 	 11541
HOP069 	 9302 	 9809
HOP070 	 10694 	 11273
HOP071 	 10746 	 11323
HOP072 	 674 	 689
HOP073 	 628 	 588
HOP074 	 2577 	 2777
HOP075 	 2772 	 2922
HOP076 	 2127 	 2204
HOP077 	 3019 	 3134
HOP078 	 2586 	 2747
HOP079 	 2445 	 2606
HOP080 	 2203 	 2331
HOP081 	 2667 	 2914
HOP082 	 1779 	 1894
HOP083 	 1822 	 1995
HOP084 	 1965 	 2156
